CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION
03/30/2016,Completed,03/30/2016,16-02136482,Pothole in Street,Final Outcome,Pothole Patched,15,6000 W 58TH ST,60638,1137376.17322439,1865488.07090977,13,8,56,,41.78714876053846,-87.77191596533973,"(41.78714876053846, -87.77191596533973)"
03/30/2016,Completed,03/30/2016,16-02136513,Pothole in Street,Final Outcome,Pothole Patched,1,6000 W 60TH ST,60638,1137424.28620218,1864150.1293702,13,8,64,,41.78347665918517,-87.77177053706669,"(41.78347665918517, -87.77177053706669)"
03/30/2016,Completed,03/30/2016,16-02136596,Pothole in Street,Final Outcome,Pothole Patched,2,6500 W 59TH ST,60638,1134073.46132848,1864712.43700658,13,8,56,,41.785079076512154,-87.78404318390758,"(41.785079076512154, -87.78404318390758)"
03/30/2016,Completed,03/30/2016,16-02136695,Pothole in Street,Final Outcome,Pothole Patched,3,6600 W 59TH ST,60638,1133407.76568939,1864694.19096678,13,8,56,,41.78504064055657,-87.78648449846874,"(41.78504064055657, -87.78648449846874)"
03/30/2016,Completed,03/30/2016,16-02136750,Pothole in Street,Final Outcome,Pothole Patched,2,6700 W 59TH ST,60638,1132742.53221341,1864675.55413084,13,8,56,,41.7850010355339,-87.78892418956084,"(41.7850010355339, -87.78892418956084)"
03/30/2016,Completed,03/30/2016,16-02136768,Pothole in Street,Final Outcome,Pothole Patched,17,6800 W 59TH ST,60638,1132076.36841805,1864657.05417344,13,8,56,,41.78496217353266,-87.79136602355024,"(41.78496217353266, -87.79136602355024)"
03/30/2016,Completed,03/30/2016,16-02136778,Pothole in Street,Final Outcome,Pothole Patched,16,3845 N CICERO AVE,60641,1143679.22201736,1925230.24367508,45,17,15,28,41.95112319391782,-87.74710499089163,"(41.95112319391782, -87.74710499089163)"
03/30/2016,Completed,03/30/2016,16-02136786,Pothole in Street,Final Outcome,Pothole Patched,4,6900 W 59TH ST,60638,1131414.10672871,1864639.36108987,13,8,56,,41.78492500153787,-87.79379537096702,"(41.78492500153787, -87.79379537096702)"
03/30/2016,Completed,03/30/2016,16-02136792,Pothole in Street,Final Outcome,Pothole Patched,17,5799 W BARRY AVE,60634,1137171.09728208,1920019.71711766,30,25,19,,41.936577655865015,-87.77123040208077,"(41.936577655865015, -87.77123040208077)"
03/30/2016,Completed,03/30/2016,16-02136806,Pothole in Street,Final Outcome,Pothole Patched,10,4400 W 64TH ST,60629,1148140.66512393,1861800.81560856,13,8,65,3,41.77683109261358,-87.73253986688879,"(41.77683109261358, -87.73253986688879)"
03/30/2016,Completed,03/30/2016,16-02136808,Pothole in Street,Final Outcome,Pothole Patched,6,5800 W WELLINGTON AVE,60634,1137192.53120715,1919354.59420537,30,25,19,,41.93496999710197,-87.77129444716077,"(41.93496999710197, -87.77129444716077)"
03/30/2016,Completed,03/30/2016,16-02136830,Pothole in Street,Final Outcome,Pothole Patched,6,4300 W 64TH ST,60629,1148806.00730364,1861815.69637897,13,8,65,3,41.77685932811878,-87.73009981074712,"(41.77685932811878, -87.73009981074712)"
03/30/2016,Completed,03/30/2016,16-02136838,Pothole in Street,Final Outcome,Pothole Patched,12,3045 N MONITOR AVE,60634,1136852.1159924,1919648.38309853,30,25,19,,41.93618385942337,-87.77234544776928,"(41.93618385942337, -87.77234544776928)"
03/30/2016,Completed,03/30/2016,16-02136985,Pothole in Street,Final Outcome,Pothole Patched,13,11300 S MICHIGAN AVE,60628,1178810.06362337,1830061.57439927,9,5,49,40,41.68893609726509,-87.62115217252503,"(41.68893609726509, -87.62115217252503)"
03/30/2016,Completed,03/30/2016,16-02137441,Pothole in Street,Final Outcome,Pothole Patched,1,2132 S HOYNE AVE,60608,1162700.89900121,1889725.61421476,25,12,31,,41.853010658803754,-87.67846344772026,"(41.853010658803754, -87.67846344772026)"
03/30/2016,Completed,03/30/2016,16-02137473,Pothole in Street,Final Outcome,Pothole Patched,116,2100 W 21ST PL,60608,1162700.89900121,1889725.61421476,25,12,31,,41.85316773711615,-87.67844321462039,"(41.85316773711615, -87.67844321462039)"
03/30/2016,Completed,03/30/2016,16-02137502,Pothole in Street,Final Outcome,Pothole Patched,63,2100 S LEAVITT ST,60608,1162024.1564307,1890036.48080176,25,12,31,,41.853878062246444,-87.68093839679045,"(41.853878062246444, -87.68093839679045)"
03/30/2016,Completed,03/30/2016,16-02137522,Pothole in Street,Final Outcome,Pothole Patched,17,1300 W DEVON AVE,60660,1166446.72688078,1942631.93099498,49,24,1,26,41.998268734819575,-87.6631094090999,"(41.998268734819575, -87.6631094090999)"
03/30/2016,Completed,03/30/2016,16-02137537,Pothole in Street,Final Outcome,Pothole Patched,8,1900 W 21ST PL,60608,1164036.40683076,1889760.61130794,25,12,31,,41.85323635515314,-87.67353974105991,"(41.85323635515314, -87.67353974105991)"
03/30/2016,Completed,03/30/2016,16-02137543,Pothole in Street,Final Outcome,Pothole Patched,10,1500 W DEVON AVE,60660,1165112.20992233,1942603.56310774,40,24,1,,41.99821787613215,-87.6680250536495,"(41.99821787613215, -87.6680250536495)"
03/30/2016,Completed,03/30/2016,16-02137830,Pothole in Street,Final Outcome,Pothole Patched,6,1630 W 90TH ST,60620,1166918.23871982,1845005.39401431,21,22,73,,41.73036152881891,-87.66418017088048,"(41.73036152881891, -87.66418017088048)"
03/30/2016,Completed,03/30/2016,16-02138240,Pothole in Street,Final Outcome,Pothole Patched,24,2443 N RICHMOND ST,60647,1156288.917075,1916236.414075,32,14,22,,41.92617055185943,-87.70098247982371,"(41.92617055185943, -87.70098247982371)"
03/30/2016,Completed,03/30/2016,16-02138333,Pothole in Street,Final Outcome,Pothole Patched,28,2500 N ROCKWELL ST,60647,1158612.2260024,1916520.23168254,32,14,22,,41.92674647199482,-87.69274015618683,"(41.92674647199482, -87.69274015618683)"
03/30/2016,Completed,03/30/2016,16-02138352,Pothole in Street,Final Outcome,Pothole Patched,1,2920 W LOGAN BLVD,60647,1156367.56258837,1917147.1329263,32,14,22,,41.92854735313883,-87.70082768290581,"(41.92854735313883, -87.70082768290581)"
03/30/2016,Completed,03/30/2016,16-02138429,Pothole in Street,Final Outcome,Pothole Patched,10,1400 W 113TH PL,60643,1169030.83417564,1829453.85298577,34,22,75,,41.68764027970055,-87.65690863872548,"(41.68764027970055, -87.65690863872548)"
